対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)	組織名	分類	採算科目名_経費合計
202607	006090100	33	業務委託費*	15000.0	15000.0	15000.0	0.0	100.0	100.0	イノチオ農芸本社	経費	業務委託費*
202607	006090100	34	雑費*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	雑費*
202607	006090100	35	雑給*	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	雑給*
202607	006090100	36	経費合計（販管費）	18000.0	18000.0	10712.0	0.0	59.5	59.5	イノチオ農芸本社		
202607	006090100	37	減価償却費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	減価償却費
202607	006090100	38	車両費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	車両費
202607	006090100	39	旅費交通費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	旅費交通費
202607	006090100	40	通信費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	通信費
202607	006090100	41	水道光熱費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	水道光熱費
202607	006090100	42	事務用品費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	事務用品費
202607	006090100	43	消耗品費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	消耗品費
202607	006090100	44	廃棄物処理料	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	廃棄物処理料
202607	006090100	45	広告宣伝費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	広告宣伝費
202607	006090100	46	接待交際費	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	接待交際費
202607	006090100	47	賃借料	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	賃借料
202607	006090100	48	賃貸料収入	0.0	0.0	0.0	0.0	0.0	0.0	イノチオ農芸本社	経費	賃貸料収入
