対象年月度	組織コード	明細No.	採算科目名	M/P	予定	実績	構成比(%)	予定比(%)	M/P比(%)	組織名
202207	230W60100	63	教育研修費	15000.0	15000.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	64	雑給	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	65	グループ共通	142600.0	142600.0	0.0	0.0	0.0	0.0	管理購買部
202207	230W60100	66	差引収益	202089.0	4204741.0	10209369.0	0.0	242.8		管理購買部
202207	230W60100	67	差引比率	0.0	0.0	0.0		0.0	0.0	管理購買部
202207	230W60100	68	総時間	545.0	556.25	506.0		90.9	92.8	管理購買部
202207	230W60100	69	定時間	632.0	652.0	578.0		88.6	91.4	管理購買部
202207	230W60100	70	残業時間	25.0	25.0	28.75		115.0	115.0	管理購買部
202207	230W60100	71	移動時間	-112.0	-120.75	-100.75		0.0	0.0	管理購買部
202207	230W60100	72	当月時間当り	370.8	7559.0	20176.6		266.9		管理購買部
202207	230W60100	73	人員	4.0	4.0	4.0		100.0	100.0	管理購買部
202208	230W60100	1	総受注高	0.0	0.0	0.0		0.0	0.0	管理購買部
202208	230W60100	2	総売上高	0.0	0.0	0.0		0.0	0.0	管理購買部
202208	230W60100	3	カーネーション売上高	0.0	0.0	0.0		0.0	0.0	管理購買部
202208	230W60100	4	カスミ草売上高	0.0	0.0	0.0		0.0	0.0	管理購買部
202208	230W60100	5	その他の売上	0.0	0.0	0.0		0.0	0.0	管理購買部
202208	230W60100	6	送料	0.0	0.0	0.0		0.0	0.0	管理購買部
202208	230W60100	7	売上原価	77520.0	679310.0	24819315.0				管理購買部
202208	230W60100	8	苗仕入	77520.0	679310.0	732226.0		107.7	944.5	管理購買部
202208	230W60100	9	パテント仕入	0.0	0.0	24087089.0		0.0	0.0	管理購買部
202208	230W60100	10	社内売	108528.0	671034.0	34747041.0				管理購買部
202208	230W60100	11	社内仕入	0.0	0.0	0.0		0.0	0.0	管理購買部
202208	230W60100	12	総収益	31008.0	-8276.0	9927726.0		0.0		管理購買部
202208	230W60100	13	経費合計	1169230.0	1188582.0	942446.0	0.0	79.2	80.6	管理購買部
202208	230W60100	14	種苗費	0.0	0.0	0.0	0.0	0.0	0.0	管理購買部
